,City,Country,Lat,Lng,Hotel Name
0,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
1,mataura,NZ,-46.19,168.86,Falls Hotel
2,longyearbyen,SJ,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
3,cape town,CL,-36.41,-71.9,Hotel Molino Viejo
4,hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
5,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
6,punta arenas,PH,8.99,125.34,
7,rikitea,PF,-23.12,-134.97,Pension Maro'i
8,daru,PG,-9.08,143.21,Daru hotel
9,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
10,lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
11,buala,SB,-8.14,159.59,Maringe Lagoon Lodge
12,pouebo,NC,-20.4,164.57,
13,busselton,AU,-33.65,115.33,Abbey Beach Resort
14,atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
15,aksu,CN,41.12,80.26,Pudong Holiday Hotel
16,northam,GB,51.03,-4.22,Seagate Hotel
17,cusco,PE,-13.52,-71.98,Hilton Garden Inn Cusco
18,talnakh,RU,69.49,88.4,Talnakh Hotel
19,karema,TZ,-6.82,30.44,
20,poum,NC,-20.23,164.02,
21,saskylakh,RU,71.92,114.08,
22,disraeli,CA,45.9,-71.35,Auberge De La Chanterelle
23,ilulissat,GL,69.22,-51.1,Hotel Arctic
24,new norfolk,LR,6.65,-10.59,
25,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
26,hermanus,ZA,-34.42,19.23,Harbour House Hotel
27,port alfred,CD,-7.03,29.76,
28,biarritz,FR,43.48,-1.56,"Radisson Blu Hotel, Biarritz"
29,pisco,PE,-13.7,-76.22,Embassy Beach
30,koumac,NC,-20.57,164.28,Le Monitel
31,ziniare,BF,12.58,-1.3,
32,souillac,MU,-20.52,57.52,Shanti Maurice Resort & Spa
33,albany,US,42.6,-73.97,
34,severo-kurilsk,RU,50.68,156.12,Kak Doma
35,rocha,UY,-34.48,-54.33,Casa Rodo 53
36,ribeira grande,ES,42.75,-8.44,Casa de Fares
37,mar del plata,ES,43.4,-4.01,Amita Hotel Boutique
38,chokurdakh,RU,70.63,147.92,
39,baykit,RU,61.67,96.37,
40,udachnyy,RU,66.42,112.4,
41,vaini,TO,-21.2,-175.2,Paradise First Hotel
42,ancud,CL,-41.87,-73.82,Hotel Arena Gruesa
43,barrow,US,71.29,-156.79,Top of the World Hotel
44,cayenne,GF,4.93,-52.33,Royal Amazonia
45,chernenko,RU,44.37,39.31,
46,sinnamary,GF,5.38,-52.95,L'oiseau de Paradis
47,bluff,NZ,-46.6,168.33,Land's End Boutique Hotel
48,anuradhapura,LK,8.36,80.42,Avasta Resort and Spa
49,kavaratti,IN,10.57,72.64,Bismillah Hotel And Lodging
50,bredasdorp,ZA,-34.53,20.04,6 On Kloof Guesthouse
51,nouakchott,MR,18.09,-15.98,AZALAÏ HOTEL NOUAKCHOTT (MARHABA )
52,grakhovo,RU,56.05,51.97,Gostinitsa Aslan
53,olafsvik,IS,64.89,-23.71,Hotel Olafsvik
54,upernavik,GL,72.79,-56.15,Café de Upernavik
55,airai,TL,-8.93,125.41,
56,saint-georges,GD,12.06,-61.75,Laluna Boutique Beach Hotel and Villas
57,luderitz,,-26.65,15.16,Obelix Guesthouse
58,kruisfontein,ZA,-34.0,24.73,
59,jawhar,SO,2.78,45.5,Safa hotel jowhar somalia
60,strezhevoy,RU,60.73,77.59,"Гостиница ""Турист"""
61,bang mun nak,CM,9.87,13.98,
62,darnah,LY,32.77,22.64,Pearl Hotel Derna
63,clyde river,US,41.3,-82.98,Red Roof Inn Clyde
64,naples,IT,40.83,14.25,Renaissance Naples Hotel Mediterraneo
65,georgetown,MY,5.41,100.34,"Eastern & Oriental Hotel, Penang"
66,tasiilaq,GL,65.61,-37.64,The Red House
