,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,90,AR,1578933632,87,-54.8,-68.3,55.4,2.62
1,mataura,0,NZ,1578933633,91,-46.19,168.86,41.0,1.01
2,longyearbyen,20,SJ,1578933634,76,78.22,15.64,-5.8,3.36
3,cape town,0,CL,1578933634,56,-36.41,-71.9,73.4,4.7
4,hilo,90,US,1578933635,51,19.73,-155.09,86.0,10.29
5,jamestown,90,US,1578933635,93,42.1,-79.24,46.0,5.82
6,punta arenas,99,PH,1578933635,88,8.99,125.34,74.88,0.36
7,rikitea,17,PF,1578933636,79,-23.12,-134.97,77.54,11.79
8,daru,59,PG,1578933636,95,-9.08,143.21,73.27,7.07
9,avarua,84,CK,1578933636,88,-21.21,-159.78,77.0,9.17
10,lebu,26,CL,1578933637,59,-37.62,-73.65,68.94,10.78
11,buala,100,SB,1578933637,80,-8.14,159.59,81.46,12.84
12,pouebo,95,NC,1578933637,88,-20.4,164.57,70.72,4.34
13,busselton,0,AU,1578933637,33,-33.65,115.33,69.01,13.67
14,atuona,11,PF,1578933637,77,-9.8,-139.03,81.01,14.63
15,aksu,100,CN,1578933638,64,41.12,80.26,25.93,1.61
16,northam,75,GB,1578933638,87,51.03,-4.22,51.8,25.28
17,cusco,40,PE,1578933383,52,-13.52,-71.98,64.4,2.24
18,talnakh,75,RU,1578933353,84,69.49,88.4,5.0,31.32
19,karema,76,TZ,1578933639,73,-6.82,30.44,75.2,4.5
20,poum,96,NC,1578933640,77,-20.23,164.02,79.97,24.52
21,saskylakh,0,RU,1578933640,88,71.92,114.08,-13.65,6.89
22,disraeli,90,CA,1578933641,85,45.9,-71.35,21.0,5.82
23,ilulissat,75,GL,1578933641,65,69.22,-51.1,5.0,11.41
24,new norfolk,20,LR,1578933642,59,6.65,-10.59,93.2,8.05
25,nikolskoye,90,RU,1578933642,89,59.7,30.79,36.0,13.42
26,hermanus,67,ZA,1578933643,91,-34.42,19.23,70.12,21.79
27,port alfred,63,CD,1578933643,72,-7.03,29.76,77.02,6.62
28,biarritz,67,FR,1578933644,41,43.48,-1.56,60.01,8.05
29,pisco,20,PE,1578933644,30,-13.7,-76.22,73.99,8.05
30,koumac,95,NC,1578933644,88,-20.57,164.28,70.72,4.34
31,ziniare,55,BF,1578933645,13,12.58,-1.3,86.0,11.41
32,souillac,20,MU,1578933645,88,-20.52,57.52,80.6,3.36
